"filename", "language", "C++", "C", "Markdown", "Makefile", "Shell Script", "Python", "YAML", "reStructuredText", "pip requirements", "Diff", "Docker", "comment", "blank", "total"
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/bpf.h", "C++", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 57, 439
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/bpf_core_read.h", "C++", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 46, 485
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/bpf_endian.h", "C++", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 100
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/bpf_helper_defs.h", "C++", 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4149, 212, 4610
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/bpf_helpers.h", "C++", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 32, 290
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/bpf_tracing.h", "C++", 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 70, 564
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/btf.h", "C++", 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 89, 576
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/libbpf.h", "C++", 579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 686, 158, 1423
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/libbpf_common.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 12, 74
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/libbpf_legacy.h", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 16, 141
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/libbpf_util.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 48
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/libbpf_version.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/skel_internal.h", "C++", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 49, 352
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/usdt.bpf.h", "C++", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 31, 248
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/bpf/xsk.h", "C++", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 50, 256
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/build-selftests/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/build-selftests/build_selftests.sh", "Shell Script", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 10, 43
